Id,Id2,Tract,population,employed,maleEmployed,femaleEmployed,income,maleIncome,femaleIncome
1400000US06075010100,6075010100,"Census Tract 101, San Francisco County, California",52546,2205,59.9,40.1,52546,67029,48382
1400000US06075010200,6075010200,"Census Tract 102, San Francisco County, California",77969,2742,50.8,49.2,77969,94740,61890
1400000US06075010300,6075010300,"Census Tract 103, San Francisco County, California",50365,2437,52.9,47.1,50365,66750,43279
1400000US06075010400,6075010400,"Census Tract 104, San Francisco County, California",50208,3399,56.2,43.8,50208,51593,48711
1400000US06075010500,6075010500,"Census Tract 105, San Francisco County, California",115833,1372,57.4,42.6,115833,136538,93833
1400000US06075010600,6075010600,"Census Tract 106, San Francisco County, California",25417,1964,51,49,25417,37143,20304
1400000US06075010700,6075010700,"Census Tract 107, San Francisco County, California",26827,2596,48.6,51.4,26827,31033,20618
1400000US06075010800,6075010800,"Census Tract 108, San Francisco County, California",51713,3021,44.3,55.7,51713,61735,47788
1400000US06075010900,6075010900,"Census Tract 109, San Francisco County, California",92529,3350,44.4,55.6,92529,98342,87424
1400000US06075011000,6075011000,"Census Tract 110, San Francisco County, California",61904,3831,49.5,50.5,61904,85730,50694
1400000US06075011100,6075011100,"Census Tract 111, San Francisco County, California",55175,3504,55,45,55175,50813,62845
1400000US06075011200,6075011200,"Census Tract 112, San Francisco County, California",66796,1757,58.9,41.1,66796,80212,55000
1400000US06075011300,6075011300,"Census Tract 113, San Francisco County, California",30513,1440,55.8,44.2,30513,30893,27378
1400000US06075011700,6075011700,"Census Tract 117, San Francisco County, California",34375,965,49.8,50.2,34375,35000,28750
1400000US06075011800,6075011800,"Census Tract 118, San Francisco County, California",18787,745,43.1,56.9,18787,22401,16250
1400000US06075011901,6075011901,"Census Tract 119.01, San Francisco County, California",55406,1541,47.9,52.1,55406,56684,54212
1400000US06075011902,6075011902,"Census Tract 119.02, San Francisco County, California",47463,1881,59.8,40.2,47463,50278,47054
1400000US06075012000,6075012000,"Census Tract 120, San Francisco County, California",35000,2132,50.6,49.4,35000,39148,23750
1400000US06075012100,6075012100,"Census Tract 121, San Francisco County, California",40925,2452,52.9,47.1,40925,45197,39722
1400000US06075012201,6075012201,"Census Tract 122.01, San Francisco County, California",33199,2470,62.6,37.4,33199,30842,38203
1400000US06075012202,6075012202,"Census Tract 122.02, San Francisco County, California",26724,1714,67.5,32.5,26724,26905,26563
1400000US06075012301,6075012301,"Census Tract 123.01, San Francisco County, California",26985,569,68.9,31.1,26985,27000,26964
1400000US06075012302,6075012302,"Census Tract 123.02, San Francisco County, California",38868,1424,50.9,49.1,38868,51455,31588
1400000US06075012401,6075012401,"Census Tract 124.01, San Francisco County, California",20689,2299,68.8,31.2,20689,22006,15739
1400000US06075012402,6075012402,"Census Tract 124.02, San Francisco County, California",41776,1780,62.4,37.6,41776,42126,32353
1400000US06075012501,6075012501,"Census Tract 125.01, San Francisco County, California",19226,1028,55.6,44.4,19226,20556,14044
1400000US06075012502,6075012502,"Census Tract 125.02, San Francisco County, California",17796,1561,65,35,17796,19920,12237
1400000US06075012601,6075012601,"Census Tract 126.01, San Francisco County, California",90567,1734,53.4,46.6,90567,102347,73839
1400000US06075012602,6075012602,"Census Tract 126.02, San Francisco County, California",101444,1958,50.4,49.6,101444,133281,80071
1400000US06075012700,6075012700,"Census Tract 127, San Francisco County, California",91250,2342,49.6,50.4,91250,109155,69844
1400000US06075012800,6075012800,"Census Tract 128, San Francisco County, California",78354,3070,46.4,53.6,78354,103085,65551
1400000US06075012901,6075012901,"Census Tract 129.01, San Francisco County, California",83965,2006,43.8,56.2,83965,85701,82841
1400000US06075012902,6075012902,"Census Tract 129.02, San Francisco County, California",76089,2478,51.5,48.5,76089,85194,72109
1400000US06075013000,6075013000,"Census Tract 130, San Francisco County, California",79227,3106,52.4,47.6,79227,101053,73663
1400000US06075013101,6075013101,"Census Tract 131.01, San Francisco County, California",101152,2938,47.3,52.7,101152,111065,80854
1400000US06075013102,6075013102,"Census Tract 131.02, San Francisco County, California",86138,1797,54.8,45.2,86138,105080,62279
1400000US06075013200,6075013200,"Census Tract 132, San Francisco County, California",102170,2484,61.1,38.9,102170,112188,76172
1400000US06075013300,6075013300,"Census Tract 133, San Francisco County, California",88770,2227,54.9,45.1,88770,97935,71369
1400000US06075013400,6075013400,"Census Tract 134, San Francisco County, California",72371,2712,47.5,52.5,72371,82730,60583
1400000US06075013500,6075013500,"Census Tract 135, San Francisco County, California",86250,1755,48.1,51.9,86250,91150,83219
1400000US06075015100,6075015100,"Census Tract 151, San Francisco County, California",76833,1228,55.5,44.5,76833,105078,62625
1400000US06075015200,6075015200,"Census Tract 152, San Francisco County, California",71310,2404,49.3,50.7,71310,75568,71012
1400000US06075015300,6075015300,"Census Tract 153, San Francisco County, California",52439,1393,51.3,48.7,52439,60957,50378
1400000US06075015400,6075015400,"Census Tract 154, San Francisco County, California",70145,3396,48.6,51.4,70145,72356,65301
1400000US06075015500,6075015500,"Census Tract 155, San Francisco County, California",65300,1686,59.5,40.5,65300,63777,66250
1400000US06075015600,6075015600,"Census Tract 156, San Francisco County, California",60455,1670,50.2,49.8,60455,70080,51372
1400000US06075015700,6075015700,"Census Tract 157, San Francisco County, California",43448,4486,44.8,55.2,43448,48865,41110
1400000US06075015801,6075015801,"Census Tract 158.01, San Francisco County, California",47361,2058,53.8,46.2,47361,58413,43223
1400000US06075015802,6075015802,"Census Tract 158.02, San Francisco County, California",62879,1952,55.7,44.3,62879,65625,60040
1400000US06075015900,6075015900,"Census Tract 159, San Francisco County, California",39988,1999,46.4,53.6,39988,43581,37940
1400000US06075016000,6075016000,"Census Tract 160, San Francisco County, California",65160,1571,47.9,52.1,65160,75882,60243
1400000US06075016100,6075016100,"Census Tract 161, San Francisco County, California",29271,2050,55.8,44.2,29271,31211,23073
1400000US06075016200,6075016200,"Census Tract 162, San Francisco County, California",54583,1901,58.9,41.1,54583,56471,44844
1400000US06075016300,6075016300,"Census Tract 163, San Francisco County, California",42130,3615,61.7,38.3,42130,42442,41389
1400000US06075016400,6075016400,"Census Tract 164, San Francisco County, California",54907,2988,55.4,44.6,54907,55556,53750
1400000US06075016500,6075016500,"Census Tract 165, San Francisco County, California",54655,3522,46.6,53.4,54655,68016,43196
1400000US06075016600,6075016600,"Census Tract 166, San Francisco County, California",53495,4099,60.5,39.5,53495,54736,50116
1400000US06075016700,6075016700,"Census Tract 167, San Francisco County, California",69058,3893,59.1,40.9,69058,76902,61488
1400000US06075016801,6075016801,"Census Tract 168.01, San Francisco County, California",65651,2316,63.7,36.3,65651,66875,57204
1400000US06075016802,6075016802,"Census Tract 168.02, San Francisco County, California",66594,2073,66.2,33.8,66594,67419,61250
1400000US06075016900,6075016900,"Census Tract 169, San Francisco County, California",62210,2209,64.4,35.6,62210,65997,54911
1400000US06075017000,6075017000,"Census Tract 170, San Francisco County, California",85926,2732,69.4,30.6,85926,93684,73600
1400000US06075017101,6075017101,"Census Tract 171.01, San Francisco County, California",75920,2437,55.1,44.9,75920,86277,63351
1400000US06075017102,6075017102,"Census Tract 171.02, San Francisco County, California",70438,2815,48,52,70438,90077,66387
1400000US06075017601,6075017601,"Census Tract 176.01, San Francisco County, California",34638,3348,56.2,43.8,34638,42159,23636
1400000US06075017700,6075017700,"Census Tract 177, San Francisco County, California",41429,1106,66,34,41429,39760,44000
1400000US06075017801,6075017801,"Census Tract 178.01, San Francisco County, California",88958,1043,49.6,50.4,88958,109042,60357
1400000US06075017802,6075017802,"Census Tract 178.02, San Francisco County, California",34698,2384,56.3,43.7,34698,51971,26468
1400000US06075017902,6075017902,"Census Tract 179.02, San Francisco County, California",23297,1335,56.2,43.8,23297,22292,24875
